date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:40:57	0/0	---M--	200	added ('OK')	text/plain	etag:%22643abb45-0%22	https://moonarch.app/robots.txt		(from )
03:40:57	4126/4126	---MCZ	200	added ('OK')	text/html	etag:W/%22643abb38-101e%22	https://moonarch.app/	E:/Moonscreener/Moon/moonarch.app/index.html	(from )
03:40:59	246/246	---MC-	200	added ('OK')	text/css	date:Tue,%2018%20Apr%202023%2000:40:58%20GMT	https://fonts.googleapis.com/css?family=Source+Code+Pro:400&display=swap	E:/Moonscreener/Moon/fonts.googleapis.com/cssea2c	(from https://moonarch.app/)
03:41:00	51/51	---MCZ	200	added ('OK')	text/plain	date:Tue,%2018%20Apr%202023%2000:40:58%20GMT	https://fonts.googleapis.com/robots.txt		(from https://moonarch.app/)
03:41:00	383/383	---M--	200	added ('OK')	application/octet-stream	etag:%22643abb4e-17f%22	https://moonarch.app/site.webmanifest?v=1	E:/Moonscreener/Moon/moonarch.app/site3860.webmanifest	(from https://moonarch.app/)
03:41:02	303267/303267	---M--	200	added ('OK')	image/png	etag:%22643abb47-4a0a3%22	https://moonarch.app/twittercard.png	E:/Moonscreener/Moon/moonarch.app/twittercard.png	(from https://moonarch.app/)
03:41:42	917/917	---M--	200	added ('OK')	image/png	etag:%22643abb4c-395%22	https://moonarch.app/favicon-32x32.png?v=1	E:/Moonscreener/Moon/moonarch.app/favicon-32x323860.png	(from https://moonarch.app/)
03:41:42	2590/2590	---M--	200	added ('OK')	image/png	etag:%22643abb4a-a1e%22	https://moonarch.app/apple-touch-icon.png?v=1	E:/Moonscreener/Moon/moonarch.app/apple-touch-icon3860.png	(from https://moonarch.app/)
03:41:44	577/577	---M--	200	added ('OK')	image/png	etag:%22643abb4b-241%22	https://moonarch.app/favicon-16x16.png?v=1	E:/Moonscreener/Moon/moonarch.app/favicon-16x163860.png	(from https://moonarch.app/)
03:41:47	443343/443343	---MCZ	200	added ('OK')	text/css	etag:W/%22643abb02-6c3cf%22	https://moonarch.app/css/index.dd0591f5.css	E:/Moonscreener/Moon/moonarch.app/css/index.dd0591f5.css	(from https://moonarch.app/)
03:42:14	3512622/3512622	---MCZ	200	added ('OK')	application/javascript	etag:W/%22643abb39-35992e%22	https://moonarch.app/js/index.c7fb685e.js	E:/Moonscreener/Moon/moonarch.app/js/index.c7fb685e.js	(from https://moonarch.app/)
03:42:27	1724/1724	---M--	200	added ('OK')	image/svg+xml	etag:%22643abb4d-6bc%22	https://moonarch.app/safari-pinned-tab.svg?v=1	E:/Moonscreener/Moon/moonarch.app/safari-pinned-tab3860.svg	(from https://moonarch.app/)
03:42:27	15086/15086	---M--	200	added ('OK')	image/x-icon	etag:%22643abb4c-3aee%22	https://moonarch.app/favicon.ico?v=1	E:/Moonscreener/Moon/moonarch.app/favicon3860.ico	(from https://moonarch.app/)
03:42:29	47819/47819	---M--	200	added ('OK')	image/png	etag:%22643abb23-bacb%22	https://moonarch.app/img/AVAX.bcfbb162.png	E:/Moonscreener/Moon/moonarch.app/img/AVAX.bcfbb162.png	(from https://moonarch.app/css/index.dd0591f5.css)
03:42:29	38668/38668	---M--	200	added ('OK')	image/png	etag:%22643abb28-970c%22	https://moonarch.app/img/SOL.0a476a8d.png	E:/Moonscreener/Moon/moonarch.app/img/SOL.0a476a8d.png	(from https://moonarch.app/css/index.dd0591f5.css)
03:42:29	44826/44826	---M--	200	added ('OK')	image/webp	etag:%22643abb24-af1a%22	https://moonarch.app/img/banner.5e97f312.webp	E:/Moonscreener/Moon/moonarch.app/img/banner.5e97f312.webp	(from https://moonarch.app/css/index.dd0591f5.css)
03:42:30	3512629/3512629	---MCZ	200	added ('OK')	application/javascript	etag:W/%22643abb3a-359935%22	https://moonarch.app/js/index-legacy.46c0d5f1.js	E:/Moonscreener/Moon/moonarch.app/js/index-legacy.46c0d5f1.js	(from https://moonarch.app/)
